subject,property,object
alice,memberOf,cs_dept
bob,memberOf,cs_dept
carol,memberOf,cs_dept
david,memberOf,cs_dept
eve,memberOf,math_dept
frank,memberOf,math_dept
prof_smith,memberOf,cs_dept
prof_brown,memberOf,math_dept
lect_jones,memberOf,physics_dept
admin_pavlov,memberOf,eng_faculty
cs_dept,partOf,eng_faculty
math_dept,partOf,sci_faculty
physics_dept,partOf,sci_faculty
prof_smith,teaches,ml101
prof_smith,teaches,algo301
prof_brown,teaches,calc100
lect_jones,teaches,db201
prof_smith,teaches,ai301
alice,enrolledIn,db201
alice,enrolledIn,calc100
bob,enrolledIn,db201
carol,enrolledIn,ml101
carol,enrolledIn,ai301
david,enrolledIn,algo301
eve,enrolledIn,ml101
frank,enrolledIn,calc100
prof_smith,supervises,david
prof_smith,supervises,eve
ml101,offeredBy,cs_dept
db201,offeredBy,cs_dept
calc100,offeredBy,math_dept
algo301,offeredBy,cs_dept
ai301,offeredBy,cs_dept
paper_ml,hasAuthor,prof_smith
paper_ml,hasAuthor,david
paper_db,hasAuthor,lect_jones
book_ai,hasAuthor,prof_smith
prof_smith,worksOnProject,ai_project
david,worksOnProject,ai_project
eve,worksOnProject,ai_project
prof_brown,worksOnProject,robotics_project
ml101,heldIn,room_101
db201,heldIn,room_101
algo301,heldIn,lab_202
ai301,heldIn,lab_202
